Genus,n,Mass.g_Mean,Diet.Plant_Mean,HYP_Mean,LOP_Mean,FCT_AL_Mean,FCT_OL_Mean,FCT_SF_Mean,BUN_Mean,Mass.g_Mode,Diet.Plant_Mode,HYP_Mode,LOP_Mode,FCT_AL_Mode,FCT_OL_Mode,FCT_SF_Mode,BUN_Mode,Order,ConsInGenhyp,ConsInGen_bun,
Mandrillus,2,16624.95,80,1,0,0,0,0,1,15000,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Mazama,10,20059.93,100,1,2,1,1,0,0,16499.9,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Miopithecus,1,1278.3,90,1,0,0,0,0,1,1278.3,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Moschiola,3,2469.066667,99.66666667,1,2,1,1,0,0,3000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Moschus,7,12485.71429,100,1,2,1,1,0,0,14500,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Muntiacus,12,19575.94167,100,1,2,0.916666667,1,0,0,15000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Naemorhedus,4,26996.875,100,3,2,0,1,0,0,27487.5,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nanger,3,55999.73333,100,3,2,0,1,0,0,72999.5,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nasalis,1,9000,100,1,0,1,0,0,0,9000,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Neotragus,2,3500,100,2,2,0,1,0,0,3000,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nesotragus,1,6500,100,2,2,0,1,0,0,6500,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nilgiritragus,1,75000,100,3,2,0,1,0,0,75000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nomascus,6,7833.333333,95,1,0,0,0,0,1,8000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Nycticebus,1,1500,90,1,0,0,0,0,1,1500,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Odocoileus,2,54860.6,100,1,2,1,1,0,0,54212.6,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Okapia,1,230001.1,100,1,2,1,1,0,0,230001.1,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Oreamnos,1,72500.3,100,3,2,0,1,0,0,72500.3,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Oreonax,1,6800,90,1,0,0,0,0,1,6800,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Oreotragus,1,12999.9,100,3,2,0,1,0,0,12999.9,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Oryx,4,156675.325,100,3,2,0,1,1,0,170000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Ourebia,1,17250,100,3,2,0,1,1,0,17250,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Ovibos,1,340501.1,100,3,2,0,1,0,0,340501.1,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Ovis,5,92059.1,100,3,2,0,1,0,0,180000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Ozotoceros,1,40000,100,1,2,1,1,0,0,40000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pan,2,38250.05,94.5,1,0,0,0,0,1,34000.1,97,1,0,0,0,0,1,Primates,TRUE,TRUE,
Pantholops,1,27500,100,3,2,0,1,0,0,27500,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Papio,5,18179.1,75.2,1,0,0,0,0,1,19484,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Pecari,1,21266.7,99,1,0,0,1,0,0,21266.7,99,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pelea,1,20000,100,3,2,0,1,0,0,20000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Perodicticus,3,1108,83.33333333,1,0,0,0,0,1,1210,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Phacochoerus,2,76750.15,90,3,0,0,0,0,1,71000.3,90,3,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Philantomba,3,9083.333333,90.33333333,1,2,0,1,1,0,12000,90,1,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Piliocolobus,13,8662.776923,100,1,0,1,0,0,0,7750.1,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Pithecia,6,2017.333333,70.33333333,1,0,0,0,0,1,2250,70,1,0,0,0,0,1,Primates,TRUE,TRUE,
Pongo,2,56950,80,1,0,0,0,0,1,56750,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Porcula,1,7718,70,1,0,0,0,0,1,7718,70,1,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Potamochoerus,2,83750.15,80,1,0,0,1,0,0,97500,80,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Presbytis,11,6405.454545,100,1,0,0.636363636,0,0,0.363636364,7000,100,1,0,1,0,0,0,Primates,TRUE,FALSE,
Procapra,3,25083.33333,100,3,2,0,1,0,0,27750,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Procolobus,1,4000,100,1,0,1,0,0,0,4000,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Prolemur,1,2350,100,1,0,0,0,0,1,2350,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Propithecus,9,4405.555556,100,1,1,1,0,0,0,5750,100,1,1,1,0,0,0,Primates,TRUE,TRUE,
Pseudois,1,45000,100,3,2,0,1,0,0,45000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pseudoryx,1,85000,100,1,2,0,1,0,0,85000,100,1,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pudu,2,9674.95,100,1,2,1,1,0,0,9600,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pygathrix,3,8310,100,1,0,0.333333333,0,0,0.666666667,8310,100,1,0,0,0,0,1,Primates,TRUE,FALSE,
Rangifer,1,86034,100,1,2,0,1,0,0,86034,100,1,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Raphicerus,3,10083.26667,100,3,2,0,1,0,0,10500,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Redunca,3,43850.2,100,3,2,0,1,1,0,58000.3,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Rhinoceros,2,1676166.5,100,1.5,1,1,1,0,0,1750000,100,2,1,1,1,0,0,Perissodactyla,FALSE,TRUE,"Scored as HYP 2 in Liu fossil genus data, changed to this for Mode"
Rhinopithecus,5,10567,100,1,0,1,0,0,0,8000,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Rucervus,2,108000,100,2,2,0,1,1,0,143000,100,2,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Rungwecebus,1,13000,90,1,0,0,0,0,1,13000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Rupicapra,2,28050,100,3,2,0,1,0,0,30000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Rusa,4,85211.1,100,1.75,2,0,1,1,0,47500,100,2,2,0,1,1,0,Cetartiodactyla,FALSE,TRUE,
Saiga,1,29000,100,3,2,0,1,0,0,29000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Sapajus,6,2895.833333,72.83333333,1,0,0,0,0,1,3200,70,1,0,0,0,0,1,Primates,TRUE,TRUE,
Semnopithecus,7,14835.71429,100,1,0,0,0,0,1,17350,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Simias,1,7980,100,1,0,1,0,0,0,7980,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Sus,8,62169.5625,72.625,1,0,0,0,0,1,56749.7,70,1,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Sylvicapra,1,19499.8,90,2,2,0,1,0,0,19499.8,90,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Symphalangus,1,10000,90,1,0,0,0,0,1,10000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Syncerus,1,580002.7,100,3,2,0,1,1,0,580002.7,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Tapirus,4,238174.95,100,1,0,1,0,0,0,299999.1,100,1,0,1,0,0,0,Perissodactyla,TRUE,TRUE,
Tayassu,1,32233.7,100,1,0,0,1,0,0,32233.7,100,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Tetracerus,1,19000,100,3,2,0,1,1,0,19000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Theropithecus,1,17049.8,100,1,0,0,1,1,0,17049.8,100,1,0,0,1,1,0,Primates,TRUE,TRUE,
Trachypithecus,16,9226.6625,100,1,0,0.5625,0,0,0.4375,7100,100,1,0,1,0,0,0,Primates,TRUE,FALSE,
Tragelaphus,9,255213.7778,100,2.111111111,2,0.444444444,1,0,0,86600.4,100,2,2,0,1,0,0,Cetartiodactyla,FALSE,TRUE,
Tragulus,6,2480.716667,99.83333333,1,2,1,1,0,0,2775,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Varecia,2,3400,100,1,1,1,1,0,0,3450,100,1,1,1,1,0,0,Primates,TRUE,TRUE,
Vicugna,1,47499.6,100,3,2,0,1,0,0,47499.6,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Anancus,,,,,,,,,,,,1,0,0,0,,1,Proboscidea,TRUE,,
Antilospira,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Arvernoceros,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Bibos,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Boocercus,,,,,,,,,,,,2,2,0,1,,0,Cetartiodactyla,TRUE,,
Cervavitus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,FALSE,,
Cervavitus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Coelodonta,,,,,,,,,,,,3,2,0,1,,0,Perissodactyla,TRUE,,
Croizetoceros,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Dicoryphochoerus,,,,,,,,,,,,1,0,0,0,,1,Cetartiodactyla,TRUE,,
Dorcabune,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Duboisia,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Elasmotherium,,,,,,,,,,,,3,1,0,1,,0,Perissodactyla,TRUE,,
Eucladoceros,,,,,,,,,,,,1,2,0,1,,0,Cetartiodactyla,TRUE,,
Gallogoral,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Gazellospira,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Gigantopithecus,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Hemibos,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Hesperotherium,,,,,,,,,,,,1,1,1,0,,0,Perissodactyla,TRUE,,
Hipparion,,,,,,,,,,,,3,2,0,1,,0,Perissodactyla,TRUE,,
Homo,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Leptobos,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Libralces,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Mammuthus,,,,,,,,,,,,3,0,0,1,,0,Proboscidea,TRUE,,
Megatapirus,,,,,,,,,,,,1,1,1,0,,0,Perissodactyla,TRUE,,
Metacervocerus,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,FALSE,,
Nestoritherium,,,,,,,,,,,,1,1,1,0,,0,Perissodactyla,TRUE,,
Nipponicervus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,FALSE,,
Palaeoloxodon,,,,,,,,,,,,3,0,1,0,,0,Proboscidea,TRUE,,
Palaeotragus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Paracamelus,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Paradolichopithecus,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Pliotragus,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Poephagus,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Pontoceros,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Praeovibos,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Proboscidipparion,,,,,,,,,,,,3,2,0,1,,0,Perissodactyla,TRUE,,
Procamptoceras,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Procapreolus,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Procynocephalus,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Pseudaxis,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,FALSE,,
Pseudodama,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Sinomastodon,,,,,,,,,,,,1,0,0,0,,1,Proboscidea,TRUE,,
Sivacapra,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Sivatherium,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Stegodon,,,,,,,,,,,,1,0,1,0,,0,Proboscidea,TRUE,,
Stephanorhinus,,,,,,,,,,,,2,1,1,0,,0,Tetraceros,TRUE,,
Tetraceros,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
