Genus,n,massg,HY,LOP,AL,OL,SF,BUN,OT,Excl_AL,ConsInGenhyp
Presbytis,11,6405.454545,1,0,1,0,0,0,0,1,TRUE
Procapra,3,25083.33333,3,2,0,1,0,0,0,0,TRUE
Procolobus,1,4000,1,0,1,0,0,0,0,1,TRUE
Prolemur,1,2350,1,0,0,0,0,1,0,0,TRUE
Propithecus,9,4405.555556,1,1,1,0,0,0,0,1,TRUE
Pseudois,1,45000,3,2,0,1,0,0,0,0,TRUE
Pseudoryx,1,85000,1,2,0,1,0,0,0,0,TRUE
Pudu,2,9674.95,1,2,1,0,0,0,0,1,TRUE
Pygathrix,3,8310,1,0,0,0,0,1,0,0,TRUE
Rangifer,1,86034,1,2,1,0,0,0,0,1,TRUE
Raphicerus,3,10083.26667,3,2,0,1,0,0,0,0,TRUE
Redunca,3,43850.2,3,2,0,1,1,0,0,0,TRUE
Rhinoceros,2,1676166.5,2,2,1,1,0,0,0,0,FALSE
Rhinopithecus,5,10567,1,0,1,0,0,0,0,1,TRUE
Rucervus,2,108000,2,2,1,0,1,0,0,0,TRUE
Rungwecebus,1,13000,1,0,0,0,0,1,0,0,TRUE
Rupicapra,2,28050,3,2,0,1,0,0,0,0,TRUE
Rusa,4,85211.1,2,2,0,1,1,0,0,0,FALSE
Saiga,1,29000,3,2,0,1,0,0,0,0,TRUE
Sapajus,6,2895.833333,1,0,0,0,0,1,0,0,TRUE
Semnopithecus,7,14835.71429,1,0,0,0,0,1,0,0,TRUE
Simias,1,7980,1,0,1,0,0,0,0,1,TRUE
Sus,8,62169.5625,1,0,0,0,0,1,0,0,TRUE
Sylvicapra,1,19499.8,2,2,0,1,0,0,0,0,TRUE
Symphalangus,1,10000,1,0,0,0,0,1,0,0,TRUE
Syncerus,1,580002.7,3,2,0,1,1,0,0,0,TRUE
Tapirus,4,238174.95,1,0,1,0,0,0,0,1,TRUE
Tayassu,1,32233.7,1,0,0,0,0,1,0,0,TRUE
Tetracerus,1,19000,3,2,0,1,1,0,0,0,TRUE
Theropithecus,1,17049.8,1,0,0,1,1,0,0,0,TRUE
Trachypithecus,16,9226.6625,1,0,1,0,0,0,0,1,TRUE
Tragelaphus,9,255213.7778,2,2,1,1,0,0,0,0,FALSE
Tragulus,6,2480.716667,1,2,1,0,0,0,0,1,TRUE
Varecia,2,3400,1,0,1,0,0,0,0,1,TRUE
Vicugna,1,47499.6,3,2,1,0,0,0,0,1,TRUE
Anancus,,5855000,1,0,0,0,NA,1,NA,0,TRUE
Antilospira,,131331.4124,3,2,0,1,NA,0,NA,0,TRUE
Bibos,,131331.4124,3,2,1,0,NA,0,NA,1,TRUE
Boocercus,,131331.4124,2,2,0,1,NA,0,NA,0,TRUE
Cervavitus,,74993.27324,2,2,1,0,NA,0,NA,1,FALSE
Cervulus,,106166.5584,2,2,1,0,NA,0,NA,1,TRUE
Coelodonta,1,2897343.585,3,2,0,1,0,0,1,0,TRUE
Croizetoceros,,79983.42542,2,2,1,0,NA,0,NA,1,TRUE
Dorcabune,,48977.88213,1,2,1,0,NA,0,NA,1,TRUE
Duboisia,,131331.4124,3,2,0,1,NA,0,NA,0,TRUE
Elasmotherium,1,4100000,3,1,0,1,0,0,1,0,TRUE
Eucladoceros,,250067.5519,1,2,0,1,NA,0,NA,0,TRUE
Gallogoral,,136144.4686,3,2,0,1,NA,0,NA,0,TRUE
Gazellospira,,146892.6284,3,2,0,1,NA,0,NA,0,TRUE
Gigantopithecus,,383154.718,1,0,0,0,NA,1,NA,0,TRUE
Hemibos,,131331.4124,3,2,1,0,NA,0,NA,1,TRUE
Hesperotherium,,2779713.27,1,1,1,0,NA,0,NA,1,TRUE
Hipparion,,199158.5353,3,2,0,1,NA,0,NA,0,TRUE
Homo,1,60231.25,1,0,0,0,0,1,0,0,TRUE
Leptobos,,307799.455,3,2,1,0,NA,0,NA,1,TRUE
Libralces,,412097.5203,2,2,1,0,NA,0,NA,1,TRUE
Mammuthus,3,7301522.094,3,0,0,1,0,0,1,0,TRUE
Megatapirus,,664166,1,1,1,0,NA,0,NA,1,TRUE
Metacervocerus,,106166.5584,1,2,1,0,NA,0,NA,1,FALSE
Nestoritherium,,2779713.27,1,1,1,0,NA,0,NA,1,TRUE
Nipponicervus,,106166.5584,2,2,1,0,NA,0,NA,1,FALSE
Palaeoloxodon,,9250648.472,3,0,1,0,NA,0,NA,1,TRUE
Palaeotragus,,413624.6357,2,2,1,0,NA,0,NA,1,TRUE
Paracamelus,,1163743.252,3,2,0,1,NA,0,NA,0,TRUE
Paradolichopithecus,,8486.364179,1,0,0,0,NA,1,NA,0,TRUE
Pliotragus,,1.00E+06,3,2,1,0,NA,0,NA,1,TRUE
Poephagus,,525000,3,2,1,0,NA,0,NA,1,TRUE
Pontoceros,,131331.4124,3,2,1,0,NA,0,NA,1,TRUE
Praeovibos,,131331.4124,3,2,0,1,NA,0,NA,0,TRUE
Proboscidipparion,,205116.2171,3,2,0,1,NA,0,NA,0,TRUE
Procamptoceras,,107894.6719,3,2,0,1,NA,0,NA,0,TRUE
Procapreolus,,106166.5584,1,2,1,0,NA,0,NA,1,TRUE
Procynocephalus,,8486.364179,1,0,0,0,NA,1,NA,0,TRUE
Pseudaxis,,106166.5584,2,2,1,0,NA,0,NA,1,FALSE
Pseudodama,,106166.5584,1,2,1,0,NA,0,NA,1,TRUE
Sinomastodon,,5855000,1,0,0,0,NA,1,NA,0,TRUE
Stegodon,3,1788420.767,1,0,1,0,0,0,0,1,TRUE
Stephanorhinus,,3287054.4,2,1,1,0,NA,0,NA,1,TRUE
Cervalces,,632000,1,2,1,0,0,0,0,1,TRUE
Haploidoceros,,1.00E+05,1,2,1,0,1,0,0,1,FALSE
Hexaprotodon,,3.00E+05,1,1,0,1,1,0,0,0,TRUE
Hippopotamodon,,510504.9996,1,0,0,0,0,1,0,0,TRUE
Megaloceros,,610446.7253,1,2,1,0,0,0,0,1,TRUE
Megalovis,,76190.4,3,2,1,1,0,0,0,0,TRUE
Pelorovis,,1.00E+06,3,2,0,1,1,0,0,0,TRUE
Praemegaceros,,70000,1,2,1,0,0,0,0,1,TRUE
Sinomegaceros,,363887.85,1,2,1,0,0,0,0,1,TRUE
Soergelia,,225000,2,2,0,1,0,0,0,0,TRUE
Spirocerus,,790678.6,2,2,1,1,0,0,0,0,TRUE
Zygolophodon,,2958012.476,1,0,0,1,0,0,0,0,TRUE
