,Binomial,Order,Family,Mass.g,Mass.Method,Mass.Source,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,AL,Source,HYP.x,LOP.x,Fully.coded,Genus,Species,Synonym,massg,HYP.y,LOP.y,FCT_HOD,FCT_AL,FCT_OL,FCT_SF,FCT_OT,FCT_CM,OO,ETH,LOPT,BUN
308,Odocoileus_virginianus,Cetartiodactyla,Cervidae,55508.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",1,"Oksanen et al., 2019",1,2,Y,Odocoileus,virginianus,NA,55508.6,1,2,1,1,1,0,0,0,0,0,0,0
309,Okapia_johnstoni,Cetartiodactyla,Giraffidae,230001.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1,"Oksanen et al., 2019",1,2,Y,Okapia,johnstoni,NA,230001.1,1,2,1,1,1,0,0,0,0,0,0,0
310,Oreamnos_americanus,Cetartiodactyla,Bovidae,72500.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,"Oksanen et al., 2019",3,2,Y,Oreamnos,americanus,NA,72500.3,3,2,1,0,1,0,0,0,1,0,0,0
311,Oreonax_flavicauda,Primates,Atelidae,6800,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,0,10,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,0,Y,Oreonax,flavicauda,NA,6800,1,0,1,0,0,0,0,0,0,0,0,1
312,Oreotragus_oreotragus,Cetartiodactyla,Bovidae,12999.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Oreotragus,oreotragus,NA,12999.9,3,2,1,0,1,0,0,0,1,0,0,0
313,Oryx_beisa,Cetartiodactyla,Bovidae,170000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Oryx,beisa,NA,170000,3,2,1,0,1,1,0,0,0,0,0,0
314,Oryx_dammah,Cetartiodactyla,Bovidae,2.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Oryx,dammah,NA,2.00E+05,3,2,1,0,1,1,0,0,0,0,0,0
315,Oryx_gazella,Cetartiodactyla,Bovidae,169001.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Oryx,gazella,NA,169001.3,3,2,1,0,1,1,0,0,0,0,0,0
316,Oryx_leucoryx,Cetartiodactyla,Bovidae,87700,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Oryx,leucoryx,NA,87700,3,2,1,0,1,1,0,0,0,0,0,0
317,Ourebia_ourebi,Cetartiodactyla,Bovidae,17250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Ourebia,ourebi,NA,17250,3,2,1,0,1,1,0,0,0,0,0,0
318,Ovibos_moschatus,Cetartiodactyla,Bovidae,340501.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,"Galbrun et al., ",3,2,Y,Ovibos,moschatus,NA,340501.1,3,2,1,0,1,0,0,0,1,0,0,0
319,Ovis_ammon,Cetartiodactyla,Bovidae,180000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Ovis,ammon,NA,180000,3,2,1,0,1,0,0,0,1,0,0,0
